ts;PDatTime;BASET;CO2;CO2_pressure
Value;Value;Value;Value;Value
Unit;Unit;Unit;Unit;Unit

12.04.2022  22:18:14;12.04.2022  22:18:00;0.0;1.2677242172960825;1.058
12.04.2022  22:19:14;12.04.2022  22:19:00;0.006663971629301545;1.2726810978857765;1.058
12.04.2022  22:20:14;12.04.2022  22:20:00;0.013359003341641536;1.2775854626111198;1.058
12.04.2022  22:21:14;12.04.2022  22:21:00;0.020085123500290743;1.2824309338067093;1.058
12.04.2022  22:22:14;12.04.2022  22:22:00;0.026842350614751626;1.2872104563611133;1.058
12.04.2022  22:23:15;12.04.2022  22:23:00;0.033630692203582;1.2919162156730792;1.058
