ts;PDatTime;BASET;CO2;CO2_pressure
Value;Value;Value;Value;Value
Unit;Unit;Unit;Unit;Unit

15.04.2022  14:19:55;15.04.2022  14:19:21;0.0;1.267724217296079;1.058
15.04.2022  14:20:56;15.04.2022  14:20:21;0.006663971629301545;1.272681097885773;1.058
15.04.2022  14:21:56;15.04.2022  14:21:21;0.013359003341641536;1.2775854626111156;1.058
15.04.2022  14:22:56;15.04.2022  14:22:21;0.020085123500290743;1.2824309338067055;1.058
15.04.2022  14:23:56;15.04.2022  14:23:21;0.026842350614751626;1.2872104563611098;1.058
