PDatTime;BASET;CO2;CO2_pressure
Value;Value;Value;Value
Unit;Unit;Unit;Unit

21.03.2022  10:44:52;0.013359003341641536;1.2775854626111192;1.058
21.03.2022  10:47:52;0.033630692203582;1.2919162156730792;1.058
21.03.2022  10:50:52;0.05418228755339691;1.3054990562998516;1.058
21.03.2022  10:53:53;0.0750128370907673;1.3180381691263248;1.058
21.03.2022  10:56:53;0.09611980211203343;1.3291140737476257;1.058
21.03.2022  10:59:53;0.11749834703199676;1.3381138879965029;1.058
21.03.2022  11:02:53;0.13915393426108294;1.3532725344216403;1.058
21.03.2022  11:05:53;0.16112321678054806;1.3721241096039114;1.058
21.03.2022  11:08:53;0.18341242826149853;1.3910050460822574;1.058
21.03.2022  11:11:54;0.20602508248520807;1.409891450856499;1.058
21.03.2022  11:14:54;0.2289646145142419;1.4287548323309658;1.058
21.03.2022  11:17:54;0.2522343578664419;1.4475614134686436;1.058
21.03.2022  11:20:54;0.2758375174899876;1.4662710228158056;1.058
21.03.2022  11:23:54;0.2997771376764321;1.484836072203228;1.058
21.03.2022  11:26:54;0.3240560636911283;1.5031998835619294;1.058
21.03.2022  11:29:54;0.3486768958273178;1.5212951565063866;1.058
21.03.2022  11:32:55;0.37364193392639733;1.539041409594973;1.058
21.03.2022  11:35:55;0.3989531104911706;1.5563426787566708;1.058
21.03.2022  11:38:55;0.42461190917233294;1.573083563310557;1.058
21.03.2022  11:41:55;0.4506192660881186;1.589125800336787;1.058
21.03.2022  11:44:55;0.4769754486621853;1.6043021489725038;1.058
21.03.2022  11:47:55;0.5036799090839016;1.6184114788295776;1.058
21.03.2022  11:50:56;0.5307311038922302;1.6312095162834765;1.058
21.03.2022  11:53:56;0.5581262783086562;1.6424025713272816;1.058
21.03.2022  11:56:56;0.5858612031850563;1.6516346165622056;1.058
21.03.2022  11:59:56;0.6139298718731828;1.6584821646500285;1.058
21.03.2022  12:02:56;0.6423241457185092;1.6624406015138682;1.058
21.03.2022  12:05:56;0.6710333870441793;1.6629312051100649;1.058
21.03.2022  12:08:57;0.7000440933916061;1.659303258669393;1.058
21.03.2022  12:11:57;0.7293396623640771;1.650887326884032;1.058
21.03.2022  12:14:57;0.7589004017306368;1.6370659576158557;1.058
21.03.2022  12:17:57;0.7887040826818962;1.617439082595095;1.058
21.03.2022  12:20:57;0.8187273480950628;1.5920463959071143;1.058
21.03.2022  12:23:57;0.8489481981924912;1.5616156268787984;1.058
21.03.2022  12:26:58;0.8793497131958103;1.527803895965102;1.058
21.03.2022  12:29:58;0.9099238707722136;1.4930196133476847;1.058
21.03.2022  12:32:58;0.9406745608918924;1.460106629465243;1.058
